"","V1","V2"
"1",0,0
"2",-5.91477809938725e-05,-0.000118295561987745
"3",-0.000926039039507894,-0.00185207807901579
"4",-0.00120925438360244,-0.00241850876720488
"5",-0.00178981431515932,-0.00357962863031864
"6",-0.00232143844355232,-0.00464287688710464
"7",-0.00265639307459995,-0.00531278614919991
"8",-0.00358392082334764,-0.00716784164669529
"9",-0.00501850464382269,-0.0100370092876454
"10",-0.00622177621746504,-0.0124435524349301
"11",-0.00706752818909959,-0.0141350563781992
"12",-0.00816321265081212,-0.0163264253016242
"13",-0.00977916148194055,-0.0195583229638811
"14",-0.0113553296704342,-0.0227106593408685
"15",-0.011932856247756,-0.0238657124955119
"16",-0.0138872857354264,-0.0277745714708528
"17",-0.0160767136391859,-0.0321534272783717
"18",-0.0176727903517367,-0.0353455807034733
"19",-0.0187144003955553,-0.0374288007911107
"20",-0.0199080202097013,-0.0398160404194025
"21",-0.0225089005944911,-0.0450178011889822
"22",-0.0236515200559603,-0.0473030401119205
"23",-0.0257410390373833,-0.0514820780747667
"24",-0.0285067273860947,-0.0570134547721893
"25",-0.0301105603468511,-0.0602211206937023
"26",-0.0312929757481019,-0.0625859514962039
"27",-0.0339165022843557,-0.0678330045687114
"28",-0.0364073633563631,-0.0728147267127262
"29",-0.0384241233025757,-0.0768482466051515
"30",-0.039921474422868,-0.079842948845736
"31",-0.0418793769245942,-0.0837587538491883
"32",-0.0443488213772537,-0.0886976427545074
"33",-0.0457762483332106,-0.0915524966664211
"34",-0.0482061536006764,-0.0964123072013528
"35",-0.0502230213186333,-0.100446042637267
"36",-0.0523692797166841,-0.104738559433368
"37",-0.0529032391273921,-0.105806478254784
"38",-0.0550814072038406,-0.110162814407681
"39",-0.0564767442543849,-0.11295348850877
"40",-0.0570068255199151,-0.11401365103983
"41",-0.0577940668483394,-0.115588133696679
"42",-0.0582113767557662,-0.116422753511532
"43",-0.057460439131728,-0.114920878263456
"44",-0.0570134464247697,-0.114026892849539
"45",-0.056433986020425,-0.11286797204085
"46",-0.0545462105180116,-0.109092421036023
"47",-0.0530424431595096,-0.106084886319019
"48",-0.0507771434932801,-0.10155428698656
"49",-0.0475882555395606,-0.0951765110791213
"50",-0.0432197228480064,-0.0864394456960129
"51",-0.0383363857741865,-0.076672771548373
"52",-0.0325941711149794,-0.0651883422299589
"53",-0.0255830262903719,-0.0511660525807438
"54",-0.0176136800225447,-0.0352273600450894
"55",-0.00945781031136971,-0.0189156206227394
"56",-0.000679314833066204,-0.00135862966613241
"57",0.00883046256567963,0.0176609251313593
"58",0.0187398021932602,0.0374796043865204
"59",0.028409874997155,0.05681974999431
"60",0.0376574980311013,0.0753149960622025
"61",0.0465782940553459,0.0931565881106919
"62",0.0545086101189822,0.109017220237964
"63",0.0610274295228531,0.122054859045706
"64",0.0659933920419964,0.131986784083993
"65",0.0688817243356695,0.137763448671339
"66",0.0697734305627301,0.13954686112546
"67",0.0682134825123355,0.136426965024671
"68",0.0644624555645575,0.128924911129115
"69",0.058470769787966,0.116941539575932
"70",0.0505268334826138,0.101053666965228
"71",0.0409783974404394,0.0819567948808788
"72",0.0308004852766274,0.0616009705532547
"73",0.0205870219053181,0.0411740438106363
"74",0.011230622773602,0.0224612455472039
"75",0.0027544059825929,0.0055088119651858
"76",-0.00325517084939143,-0.00651034169878287
"77",-0.0081771342686406,-0.0163542685372812
"78",-0.0102545689771151,-0.0205091379542302
"79",-0.0109700542696396,-0.0219401085392791
"80",-0.0104705895320066,-0.0209411790640132
"81",-0.00881267462699385,-0.0176253492539877
"82",-0.00686359170331,-0.01372718340662
"83",-0.00542305569649117,-0.0108461113929823
"84",-0.00321865988190149,-0.00643731976380299
"85",-0.00225926580998615,-0.00451853161997229
"86",-0.00055134026244527,-0.00110268052489054
"87",-0.00083323227643132,-0.00166646455286264
"88",4.12681357689393e-05,8.25362715378787e-05
"89",-0.000422053887519628,-0.000844107775039257
"90",0.00038403550880413,0.00076807101760826
"91",0,0
