Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,4.383627921,8.079745337,8.161430797,3.814916166,-0.084012264,5.364016273,10.16499559,7.643793597,11.49382857,6.626368847,5.2132729,5.252274656,3.011646662,2.176873363,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,4.731313712,3.707894618,6.691742382,-4.954074711,1.024100862,6.05790855,5.736460188,6.412405164,12.72850745,9.25942056,-0.030133268,-12.10753619,-7.574357218,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.145543603,7.389197162,4.65040225
Australia,AUS,,2.485789429,1.295906081,6.214617911,6.978533508,5.983562611,2.382546092,6.302517211,5.095880782,7.044232418,7.172207036,4.003723519,3.912656294,2.613393888,4.103552215,1.349972817,2.587639201,3.597509748,0.896784694,4.04350392,3.034068216,3.33795895,3.32840049,-2.220458135,4.581269491,5.249240905,4.037247244,2.553285416,5.740728599,3.864709554,3.570617421,-0.397231659,0.412529109,4.029408669,3.982695245,3.836059118,3.878618462,3.966496644,4.576693783,5.073585258,3.933097026,1.930882544,4.001377032,2.985940486,4.055551874,3.204160122,2.794583316,3.844309553,3.657912651,1.93692177,2.067465677,2.462786173,3.918161772,2.584875111,2.533115447,2.192640028,2.770656693,2.367617253,2.940333582,1.89682574
Austria,AUT,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,6.321142545,5.114968671,6.20786093,4.890435471,3.942138141,-0.363735704,4.578445375,5.079980802,-0.210653511,5.356699832,1.731485419,-0.14429446,2.011254359,2.973087981,0.051275257,2.498678492,2.301392779,1.357168015,3.295880217,3.887074766,4.345641544,3.441627449,2.09352471,0.526809466,2.402118766,2.667983662,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,2.082608428,2.476443921,2.419763638,1.612959328
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000183,-22.60000005,-23.09999931,-19.70000072,-11.79999973,1.299999465,5.800000012,10.00000117,7.399999587,11.0999995,9.90000013,9.438916342,10.20830001,9.253801326,27.96153807,34.46620936,25.46321591,10.59143729,9.369074777,4.789242792,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.218704277
Burundi,BDI,,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.124163303,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.609933082,1.842476677
Belgium,BEL,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.591821536,3.985827299,5.295604448,6.381702062,4.565258068,-1.965941534,5.652745841,0.626154821,2.841896578,2.341073038,4.444054024,-0.279283605,0.59498692,0.311842765,2.466382618,1.651792852,1.822762159,2.306659389,4.723208932,3.469166805,3.137402462,1.833074279,1.530654836,-0.96187309,3.226971466,2.384757207,1.321478488,3.793644861,1.961840751,3.542734277,3.716677113,1.09961616,1.706889159,1.037953053,3.571192891,2.32173738,2.552353767,3.676918241,0.446916545,-2.020725816,2.864285327,1.694497446,0.739229905,0.45922805,1.57852323,2.032788973,1.478300769,1.903862139,1.487634836,1.404455201
Benin,BEN,,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687335
Burkina Faso,BFA,,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.88847389,6.613405746,4.352963827,7.802493892,4.478452135,8.66187323,6.253164688,4.111379017,5.799991741,2.961950858,8.446281577,6.622562612,6.452672381,5.792605592,4.326845613,3.9125572,5.958691719,6.15710463,6.81961748,5.688598986
Bangladesh,BGD,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671904981,7.058599357,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013610365,6.061059359,6.552639879,7.11350246,7.284184092,7.863708893,8.152684947
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.289882068,-9.117377097,-8.445355177,-7.272387999,-1.480214759,1.818011198,2.860189445,5.138915238,-14.1928148,4.285281898,-8.281016241,4.782042329,3.817240033,5.953033877,5.151841505,6.441859686,7.153541834,6.802165969,6.557082321,6.085627082,-3.42357082,0.569823565,2.350980456,0.360583188,0.318735761,1.894547142,3.989526269,3.81153783,3.506604774,3.084189801,3.371615546
